,eid,startTime,endTime,lat,lon,v1MMSI,v2MMSI
0,d85f6e4b3a150ca65360a1baa7596a8f.1,2015-02-15 17:40:00 UTC,2015-02-15 23:50:00 UTC,-45.5544798593,-60.49497857080001,636015528,412328763
1,61a91a71ed5d98ee8d34f84a3765bc31.1,2015-02-02 20:10:00 UTC,2015-02-03 06:20:00 UTC,-45.58314907615903,-60.49411572397954,636015528,412440157
2,97e6c194a35b0c7f8ae8a98ed7b03343.1,2015-02-19 13:20:00 UTC,2015-02-19 23:50:00 UTC,-45.5350144955,-60.49138957280001,636015528,412331075
3,9c553adb149c1899849dd46576b1442c.1,2015-02-17 15:30:00 UTC,2015-02-17 23:50:00 UTC,-45.5545506576,-60.4974310895,636015528,412331074
4,be1c9528d50b7fb1ac5fbfb3bc55ee10.1,2015-05-30 00:00:00 UTC,2015-05-30 08:30:00 UTC,-45.5056388941,-60.48641805046001,636015528,412217993
5,4c57aab162301cade1cf36da113b076c.1,2018-11-01 17:50:00 UTC,2018-11-01 23:50:00 UTC,39.57189099480001,149.1865930407224,356591000,412439618
6,fa5023c2b25771bd53e630b0024e6538.1,2018-11-03 00:00:00 UTC,2018-11-03 02:50:00 UTC,41.1198993145,151.6599170139,356591000,416004693
7,bb8d40fc40c520bcf2a19838857caa84.1,2018-01-27 12:30:00 UTC,2018-01-27 16:50:00 UTC,1.4800677263,152.4371204963,356591000,416899000
8,0833b2132c75982c7185fdfbd4abd2c6.1,2018-11-05 00:00:00 UTC,2018-11-05 11:10:00 UTC,40.6783512107,150.9343533966,356591000,416241900
9,831de07d7a74c19feca46abc9af3228d.1,2018-10-28 18:40:00 UTC,2018-10-29 07:30:00 UTC,39.02817375896711,146.91152393601965,356591000,412439762
10,b330156365c41f42dcbf147b521dbf42.1,2018-01-28 03:20:00 UTC,2018-01-28 09:30:00 UTC,0.5166075915179104,153.77950535923287,356591000,416500000
11,eed0be2f223b9d9b38f3682465dde15b.1,2018-01-27 11:10:00 UTC,2018-01-27 16:10:00 UTC,1.49388799465,152.4515273343,356591000,416898000
12,7177da12134233d59dc95669ea3db498.1,2018-10-25 21:40:00 UTC,2018-10-26 06:00:00 UTC,40.02780580332976,148.07624044757125,356591000,416252900
13,285a9981e841cad24e82b3baa33bb68b.1,2018-10-26 07:40:00 UTC,2018-10-26 11:20:00 UTC,40.0575983665,148.1686127209,356591000,416253500
14,a8ac1a98abcef1ded1e6a28dfae1f860.1,2021-05-11 02:10:00 UTC,2021-05-11 08:20:00 UTC,61.5556933128,174.42044997784998,273358410,273411580
15,c44c91369f384ca240e2a9fc6d0f4af9.1,2020-04-01 13:00:00 UTC,2020-04-02 19:30:00 UTC,56.74823123815412,151.15983129034504,273358410,273848120
16,299d8276613832c6106fd7336673b61b.1,2019-03-21 12:50:00 UTC,2019-03-21 19:20:00 UTC,55.7221729784875,151.2014500575264,273358410,273399670
17,80e69ba3a9cc41c084ea68d70d676315.1,2013-08-22 16:00:00 UTC,2013-08-23 04:40:00 UTC,46.54061816666981,142.5152649021028,273358410,273447080
18,60c61ac1ee8efab6f5710b488138610e.1,2015-06-17 13:20:00 UTC,2015-06-17 17:30:00 UTC,43.0592163048,146.3071938383,273358410,273890710
19,1718286670536445d6fe3bbee1b33556.1,2020-08-27 06:50:00 UTC,2020-08-28 07:50:00 UTC,62.321048063426176,177.15642219875917,273358410,273411580
20,89a8328bf422b5f29b0adfdfcdb08c23.1,2015-08-26 00:50:00 UTC,2015-08-26 07:40:00 UTC,43.747724410378055,145.99377669237072,273358410,273437810
21,618a3d687306ffc6df3f2a32f53a0763.1,2019-10-14 04:50:00 UTC,2019-10-14 14:30:00 UTC,59.5180897122,155.91363053025,273358410,273453080
22,3cd22466d52c1715efcce9978cc1ed6e.1,2015-08-31 11:00:00 UTC,2015-08-31 17:00:00 UTC,43.75196021029216,146.0052728291843,273358410,273899000
23,e32864e802956ee474a44e9662bc4fb4.1,2021-05-09 00:00:00 UTC,2021-05-09 12:00:00 UTC,60.2965761999,169.2623143137,273358410,273370490
24,46690e1a329246badc1c256a1a8c6607.1,2020-05-18 04:30:00 UTC,2020-05-18 08:20:00 UTC,57.75091369204999,151.5411700555,273358410,273212230
25,56b2132b8198ac36f911a63e89c8f949.1,2020-12-10 08:40:00 UTC,2020-12-10 19:30:00 UTC,58.40767727880001,151.67095792525,273358410,273435010
26,572956c1e857b2eb9b73dca678636ca1.1,2021-05-13 00:00:00 UTC,2021-05-14 11:30:00 UTC,60.335027010833024,169.16601718876956,273358410,273370490
27,edc2110e61e2555d22e27819be56e419.1,2019-09-27 00:00:00 UTC,2019-09-27 23:50:00 UTC,58.5298379140368,152.16120658502604,273358410,273438500
28,482739e16c0032580db37c930836bf68.1,2022-12-22 13:20:00 UTC,2022-12-23 03:20:00 UTC,59.35507233355442,148.33574406735698,273358410,273451840
29,41fca952e26f03ffae47c4420b0a48ef.1,2022-10-08 11:10:00 UTC,2022-10-09 05:30:00 UTC,59.02050391732568,148.07753737810594,273358410,273423560
30,a9b131011925f2a79bc60675382fb470.1,2018-05-05 12:00:00 UTC,2018-05-06 07:40:00 UTC,62.02834741172028,176.26035074785668,273358410,273312510
31,b627af9342d6c16e1ae753c44aa62e67.1,2019-05-11 12:30:00 UTC,2019-05-12 03:40:00 UTC,57.88673895946779,149.23146358631405,273358410,273444180
32,7aa2773bd0ab8bced26d70d64b10da19.1,2019-05-04 09:20:00 UTC,2019-05-04 17:30:00 UTC,54.7436605265,145.77490177514997,273358410,273827030
33,eeafe33c8ec8c59dcebe6cbfceefe4ed.1,2018-01-12 21:50:00 UTC,2018-01-13 02:30:00 UTC,55.41828628142778,155.08901608808887,273358410,273387130
34,44d5e3c91a8d247ec54fe5b6f66e1545.1,2015-03-14 13:30:00 UTC,2015-03-14 23:50:00 UTC,56.968676305581326,155.53469156641148,273358410,273442400
35,2a20265069216d1a5530e730938a9dc5.1,2019-09-28 21:40:00 UTC,2019-09-29 03:50:00 UTC,56.79734704551805,154.00436947098729,273358410,273372120
36,fbce1426d622e5c26ecc98913450a761.1,2019-12-09 01:50:00 UTC,2019-12-09 22:20:00 UTC,55.25639225084087,155.4168307352026,273358410,273897500
37,48b30f4b02a7630caf1b8eb93cacabfa.1,2019-05-26 05:50:00 UTC,2019-05-26 11:50:00 UTC,54.300898097250005,151.29468690005,273358410,273397860
38,45e99dedb7d9a6bf0e06d4825f10ef9f.1,2022-04-19 21:00:00 UTC,2022-04-20 05:30:00 UTC,54.139534053953,155.45866807232903,273358410,273394950
39,991623a9586333b3dfa1e4568b463396.1,2019-06-10 07:20:00 UTC,2019-06-10 11:40:00 UTC,57.85344069695,151.66105807615,273358410,273444180
40,116279cad3b98164e77512147bd63c0a.1,2020-10-03 10:20:00 UTC,2020-10-03 18:10:00 UTC,51.16649979791613,156.04970742054385,273358410,273397860
41,9cf27fb8a4203527345fac0f8be0db3e.1,2018-11-15 02:00:00 UTC,2018-11-15 04:50:00 UTC,58.99617513765001,147.681098582,273358410,273527500
42,b8f444788ebb899f585cfb2845c24422.1,2016-01-23 16:40:00 UTC,2016-01-23 23:50:00 UTC,57.79686139775,150.05488448629998,273358410,273442420
43,d2983d4145f112f74d6cee77c925e71e.1,2020-01-24 02:20:00 UTC,2020-01-25 15:00:00 UTC,56.14303158421462,146.63748862354154,273358410,273451840
44,9a058ef7721de87f473fc8f763fb2171.1,2020-03-31 02:10:00 UTC,2020-04-01 09:40:00 UTC,56.6571746831682,151.2831918045667,273358410,273849910
45,ab053fddb793e345c1aff8b886e64f17.1,2013-08-20 03:10:00 UTC,2013-08-20 05:50:00 UTC,46.49857639245,142.4524195363,273358410,273423800
46,af6d07ab632675be5199b2f59fab93c3.1,2020-02-12 20:40:00 UTC,2020-02-13 06:40:00 UTC,55.266125097211926,155.15809672267707,273358410,273435010
47,89a9d1eab42d66d6f755bfb19f74ab14.1,2021-05-24 00:10:00 UTC,2021-05-24 08:50:00 UTC,51.06533414707127,154.09328986785172,273358410,273398450
48,3b2340677a50d9bbf31b161436c561bf.1,2018-04-20 10:00:00 UTC,2018-04-20 23:50:00 UTC,60.288343036264486,169.24074794330215,273358410,273436440
49,6f60f16850eda82729f255398c17850b.1,2019-11-19 19:50:00 UTC,2019-11-20 03:00:00 UTC,51.59453086974286,156.4054026667214,273358410,273399670
50,3dc276c5b85c7f1ae99893b1bca770c6.1,2021-11-18 00:00:00 UTC,2021-11-18 03:10:00 UTC,43.9083361748,146.1400469143,273358410,273290040
51,a8cfa8e3b806934826881e3737b7c5ef.1,2018-11-20 06:30:00 UTC,2018-11-20 16:20:00 UTC,51.87858798225,155.3913540368,273358410,273849910
52,536db18024a2f716cd9c52681ff53a8d.1,2020-05-17 19:40:00 UTC,2020-05-17 21:50:00 UTC,57.33984750035,150.3994659188,273358410,273216420
53,6538384a8b415abc0c5053241f0a68a0.1,2022-08-17 17:40:00 UTC,2022-08-18 19:00:00 UTC,62.33111612535934,177.83779640710983,273358410,273290040
54,eb06a1b8ece5ca2a83533e24552c8db4.1,2018-11-16 06:50:00 UTC,2018-11-16 23:50:00 UTC,58.92450693108293,147.2454734700851,273358410,273814610
55,1ced214b1eafd731af6aa5a9486e0d3a.1,2018-05-07 17:40:00 UTC,2018-05-07 23:00:00 UTC,62.40135417409787,178.21722926235546,273358410,273893200
56,d6f19ea5ddb4bb60860bcd6a22c6d1c9.1,2022-08-10 00:00:00 UTC,2022-08-11 08:30:00 UTC,63.441963216715926,179.47935933569266,273358410,273451840
57,edd95a99bdd276c275963b51e88c0685.1,2019-07-22 00:00:00 UTC,2019-07-22 23:50:00 UTC,60.15525368539032,165.51154266914406,273358410,273399670
58,8f03bb85e32362f4af2d7ce7f7b02bbe.1,2022-08-09 00:30:00 UTC,2022-08-09 22:20:00 UTC,63.44881057940949,179.4777063930512,273358410,413236000
59,428abf755e4e8e7240f38f5fe030ef69.1,2013-08-21 21:50:00 UTC,2013-08-22 11:10:00 UTC,46.58426917175333,142.53242380015251,273358410,273447080
60,e028f8ef1d92b74b2d9769e9a26ac412.1,2019-10-04 21:00:00 UTC,2019-10-05 11:10:00 UTC,58.42878747269516,151.70078652154794,273358410,273819000
61,40dc8af9ee4c779da431eeb20c7899e4.1,2021-07-19 19:30:00 UTC,2021-07-19 23:30:00 UTC,59.2318961714,164.0006324476,273358410,273895110
62,7b53afad4235875d3329cacbc14b8bdc.1,2021-07-18 16:40:00 UTC,2021-07-19 11:50:00 UTC,59.23357256071455,163.99946868639228,273358410,273438500
63,764c52ac0be1b8dd54c88502c5edc15d.1,2015-07-17 11:50:00 UTC,2015-07-17 15:00:00 UTC,49.14583372890001,155.1824685377,273358410,273896000
64,f39ea2f3adff4b434183130768d339d8.1,2019-07-24 08:10:00 UTC,2019-07-25 13:40:00 UTC,58.11300874037447,162.10113815606525,273358410,273451840
65,2521de258261388ce394c10e88040003.1,2019-05-10 18:20:00 UTC,2019-05-11 11:40:00 UTC,57.760867526404624,148.91129204740287,273358410,273351500
66,6ecc2ff8a59e354b56fd02e60922afd2.1,2018-05-01 17:40:00 UTC,2018-05-01 21:40:00 UTC,62.2883813933,177.7864081508,273358410,273351500
67,f7b9fa98df3cafcc2f3a3f5ac1d5fb24.1,2018-04-24 06:40:00 UTC,2018-04-24 13:20:00 UTC,60.39745296562414,169.50349480218964,273358410,273421700
68,dd493a6aab9e94cbf94d951849da7deb.1,2022-10-05 01:30:00 UTC,2022-10-05 10:30:00 UTC,58.95602435575,148.02105856375,273358410,273313640
69,e134c8c4753a1245c63cfd1672d8e895.1,2018-03-17 21:10:00 UTC,2018-03-19 23:50:00 UTC,56.5469733315789,151.32438328466148,273358410,273876000
70,2b203cc5b6d44b2f340536dda942db1b.1,2022-10-16 07:00:00 UTC,2022-10-17 14:30:00 UTC,51.06209267350625,156.0225554302229,273358410,273411800
71,ace665ecef8418033cbde97b2b6ec90d.1,2015-03-10 21:00:00 UTC,2015-03-11 12:20:00 UTC,56.981454309020336,155.9460774083264,273358410,273447080
72,5c8d779cc9c28860edbdf5fc1dbc26e5.1,2019-07-17 14:10:00 UTC,2019-07-17 18:20:00 UTC,59.53725786954652,163.3345692810419,273358410,273319630
73,4b7bd91023d68111b1929759851489ac.1,2019-11-25 00:00:00 UTC,2019-11-25 14:20:00 UTC,57.81371746235882,157.168405492283,273358410,273840400
74,8da5af22141e540f37a4a6687a529f34.1,2018-03-01 10:00:00 UTC,2018-03-02 02:00:00 UTC,58.25904844562682,154.3163550416647,273358410,273353060
75,339273c3740f7d41d66a9606bd897b8e.1,2019-06-10 21:50:00 UTC,2019-06-11 08:10:00 UTC,57.09669668490182,148.61436484905963,273358410,273436430
76,7e10ce0917bb16d6872f9bcae468f3ce.1,2018-04-22 12:30:00 UTC,2018-04-23 17:30:00 UTC,60.39817790685806,169.50345271409768,273358410,273347730
77,5b97475a4e953efa617c6dead7c0b92d.1,2019-06-02 09:20:00 UTC,2019-06-02 16:50:00 UTC,55.0843709978,151.0965939675639,273358410,273828600
78,f2d06d17c2f653480a840e251544e982.1,2018-01-15 03:10:00 UTC,2018-01-16 14:40:00 UTC,57.04016001287968,154.54760263523033,273358410,273448750
79,6b6607dd7ed1194c0c8b427c2db37cb3.1,2021-03-12 00:00:00 UTC,2021-03-12 14:30:00 UTC,54.67998458551748,150.9511955809126,273358410,273841610
80,89aa3ab649b6031b0961a8f332aec37d.1,2018-05-06 07:50:00 UTC,2018-05-06 23:50:00 UTC,62.0282996902,176.25550270300002,273358410,273435700
81,fbb22e93dcdbc147c773e97ed099284a.1,2016-01-14 00:00:00 UTC,2016-01-14 16:30:00 UTC,56.18563652216611,142.28778834163188,273358410,273441610
82,f18e32d83f5e5bbf6de8e05aa0ee4019.1,2019-05-05 08:10:00 UTC,2019-05-05 13:40:00 UTC,55.1170709494,146.59281294879997,273358410,273370230
83,9438a1d1745e4f3a52aee77574031e98.1,2019-09-28 01:30:00 UTC,2019-09-28 09:50:00 UTC,58.4610372594,152.25260420485,273358410,273842300
84,fd84f8a935c6f15dbc354d1589d773a6.1,2019-09-22 21:10:00 UTC,2019-09-23 05:20:00 UTC,54.042818666019045,155.23687474451015,273358410,273388860
85,4456f0a0707ed1b350310a87df4fc42e.1,2021-05-21 08:40:00 UTC,2021-05-21 16:10:00 UTC,49.94503688004576,155.76675763147625,273358410,273433540
86,332f3f22cefd08f6934193d70dabb475.1,2019-10-01 17:50:00 UTC,2019-10-02 03:40:00 UTC,58.6062569503138,157.26584435624846,273358410,273849000
87,a22bf0382d2c807d7cdfe979c5c5fe47.1,2021-07-11 04:30:00 UTC,2021-07-11 06:50:00 UTC,51.04287035995,153.1131910668,273358410,273398450
88,7c7651878b0fd6ce9ff2595703a6cc2a.1,2019-10-13 20:30:00 UTC,2019-10-14 03:00:00 UTC,59.51926403210526,155.9128299775842,273358410,273444180
89,e52dcafe30e158013643453e609e0e64.1,2019-06-05 11:00:00 UTC,2019-06-05 17:10:00 UTC,57.95466760065,152.77830663005,273358410,273388860
90,aba0940f5d9aea84d07a614911010f8b.1,2019-05-13 12:40:00 UTC,2019-05-13 19:30:00 UTC,53.964495760800006,151.4247080638,273358410,273397860
91,7311778b09f32458578add0df348f889.1,2019-05-27 03:40:00 UTC,2019-05-27 17:50:00 UTC,53.26989216279552,151.85287730297264,273358410,273370230
92,4ec1123134a4fe882945e4ad1bc625a3.1,2022-02-10 00:00:00 UTC,2022-02-11 17:40:00 UTC,57.4191342617225,144.99045461714982,273358410,273290040
93,8cb7343c87962ea271cfb48f73003764.1,2022-04-15 00:00:00 UTC,2022-04-17 03:40:00 UTC,56.79159524320169,149.49397645036282,273358410,273873400
