country,port_name
DNK,COPENHAGEN
SGP,SINGAPORE
KOR,BUSAN
PNG,RABAUL
THA,NAVAL DOCKYARD
KIR,TARAWA
TWN,KAOHSIUNG
RUS,VLADIVOSTOK
RUS,PETROPAVLOVSK
CHN,QINGDAO
RUS,SEVERO KURILSK
RUS,TILICHIKI
RUS,OKTYABRSKIY
RUS,SEVERO-KURIL'SK
KOR,ILGWANG
RUS,SHIKOTAN
RUS,KARAGINSKIY ZALIV
RUS,KORSAKOV
RUS,OZERNOVSKIY
SGS,SOUTH GEORGIA
PAN,PANAMA CITY
FLK,STANLEY
USA,DUTCH HARBOR
CHN,ZHUHAI
MUS,PORT LOUIS
JPN,YOKOSUKA
JPN,SHIMIZU
PYF,PAPEETE
USA,LARSEN BAY
USA,NAKNEK
USA,CHIGNIK
USA,EGEGIK
USA,LAZY BAY
USA,PILOT POINT
USA,ANDERSON BAY
USA,SEATTLE USA
TUR,SIGACIK
TUR,ALANYA
TUR,ANTALYA OFFSHORE TERMINAL
CHN,FUZHOU
CHN,HONGKONG
CHN,ZHOUSHAN
CHN,TAIZHOU
JPN,WAKKANAI
SYC,VICTORIA
MYS,KLANG
ZAF,CAPE TOWN
MHL,MAJURO
GHA,LOME
USA,KETCHIKAN
CPV,PORTO GRANDE
NAM,WALVIS BAY
IDN,NIPAH ANCHORAGE
URY,MONTEVIDEO
GNB,BISSAU
SJM,BELLSUND
NOR,KIRKENES
RUS,SAFONOVO
RUS,SEVEROMORSK
NOR,BATSFJORDEN
RUS,MURMANSK
RUS,ROSLYAKOVO
NLD,IJMUIDEN
RUS,SVETLYY
RUS,KILDIN ISLAND
FSM,POHNPEI
KOR,C G Q
CHN,DALIAN
CHN,QUANZHOU
PNG,LAE
CHL,PUERTO MONTT
CHL,QUELLON
RUS,NEVELSK
RUS,VANINO
RUS,NAKHODKA
RUS,LOSOSINA
RUS,SHAKOTAN
RUS,ZARUBINO
USA,PETERSBURG
USA,TOGIAK
USA,CLARKS POINT
FRO,NOLSOY
SJM,BJORNOYA
SWE,GOTHENBURG
RUS,SLAVYANKA
RUS,BUKHTA MORZHOVAYA
RUS,OSSORA
JPN,SENDAI
NOR,TROMSO
NLD,ENSCO 121
USA,VALDEZ ARM
USA,KODIAK
USA,KING COVE
USA,PORT MOLLER
USA,SAND POINT
USA,NUSHAGAK BAY
USA,FALSE PASS
FLK,BERKELEY SOUND
RUS,BERINGOVSKY
RUS,ARKHANGELSK
FRO,KLAKSVIK
USA,CRAIG
USA,DILLINGHAM
USA,SITKA
USA,ADAK
USA,AKUTAN HARBOR
CHN,NINGBO
PER,CALLAO
CHN,HONG KONG
PER,CHIMBOTE
CHN,WEIHAI
NOR,SVANOY
JPN,UBE
KOR,TONGYEONG
USA,WARD COVE
RUS,MAGADAN
JPN,OTARU
CHL,PTO AGUIRRE
NOR,ABU
JPN,JP HKT OFF
JPN,HIRADO
ESP,LAS PALMAS
RUS,YUZHNO-KURILSK
USA,CORDOVA
USA,WHITTIER
JPN,HACHINOHE
USA,WHITTIER AK
IDN,TANJUNG BENOA
GEO,POTI
TUR,AKUA GROUPER TUNA FARM
TUR,INEBOLU
TUR,EREGLI
GEO,SUPSA
TUR,IGNEADA
TUR,ISTANBUL
GEO,BATUMI
TUR,AYVAT
TUR,HOPA
LKA,HAMBANTOTA SRI LANKA
RUS,UST KAMCHATSK
RUS,NOVOROSSIYSK
USA,KOVICHAK BAY
JPN,ONAHAMA
DEU,BREMERHAVEN
JPN,JP WAK
JPN,UNO KO
USA,BARALOF BAY
RUS,OKHOTSK
USA,EVERETT
CHL,CALBUCO
CHL,PUNTA ARENAS
CHL,TENAUN
USA,AUKE BAY
JPN,CHOSHI
GRL,AASIAAT
JPN,MATSUURA
SLB,HONIARA
CAN,BLACKS HARBOUR
CAN,CANSO
ECU,MANTA
THA,SAMUT PRAKAN
STP,SAO TOME
IRN,BANDAR ABBAS
JPN,KUSHIRO
JPN,ISHIKARI BAY NEW PORT
USA,KETCHICAN
JPN,NAGASAKI
JPN,KARATSU
RUS,SABETTA
JPN,JP HKP OFF
PHL,MANILA
JPN,HIROO
CHN,YANTAI
ATA,DISCOVERY BAY
CHL,PUERTO CHACABUCO
MRT,NOUADHIBOU
KOR,YEOSU
USA,JACK BAY
PYF,BAIE TAIOHAE
BRA,RIO DE JANEIRO
RUS,KURILSK
MLT,VALLETA
TUR,BOZYAZI
TUR,MARMARIS
CHN,NINGDE
CAN,PORT HARDY
CHL,PUERTO QUEMCHI
FJI,SUVA
FJI,LEVUKA
RUS,PLASTUN
RUS,ZOLOTAYA
PAN,COLON
GEO,MALTAKVA
TUR,RUMELIFENERI
TUR,OF
TTO,CHAGUARAMAS
IDN,NIZAM ZACHMAN JAKARTA
SEN,DAKAR
KOR,ULSAN
FRO,TORSHAVN
RUS,PREOBRAZHENIYE
RUS,RAKUSHKA
PHL,GENERAL SANTOS
JPN,AOMORI
TUV,FUNAFUTI
JPN,YAWATAHAMA
JPN,ISHINOMAKI
CHL,PUERTO CISNES
LBR,MONROVIA
THA,BANGKOK
EGY,PORT SAID
KEN,MOMBASA
TUR,AMBARLI
CAN,MARYSTOWN
GHA,TEMA
RUS,PTRK
ARE,FUJAIRAH
COK,AVATIU
USA,PLATINUM
USA,KENAI
USA,PANKOF BREAKER
USA,VALDEZ
DNK,SKAGEN
USA,NOME
JPN,KIKONAI
RUS,OLGA
JPN,JP SGM OFF
JPN,JP ISM OFF
KOR,YOSU
TWN,LIUQIU
CIV,ABIDJAN
ASM,PAGO PAGO HARBOR
PYF,FAAA
TWN,TAIPEI
KIR,LONDON
AGO,LUANDA
PHL,SUBIC
THA,PHRA SAMUT CHEDI
PNG,WEWAK HARBOR
CHL,CORONEL
WSM,APIA
USA,COFFMAN COVE
USA,GOING FISHING
USA,JUNEAU
GBR,AU ADL
ISL,DJUPIVOGUR
ISL,ESKIFJORDHUR
GIN,CONAKRY
BRA,RIO GRANDE
COD,BOMA
ECU,POSORJA
USA,KNIGHT ISLAND
USA,SEWARD
NLD,AMSTERDAM
KOR,ANCHORAGE
KOR,MOKPO
USA,COLD BAY
USA,NAKED IS AK
TUR,ESENKOY
CMR,DUOALA
CHL,TALCAHUANO
NGA,PORT HARCOURT
MLT,MALTA
USA,CHENEGA BAY
USA,ESTHER ISLAND
URY,RECALADA
GRC,ATHENS
USA,SEATTLE
ESP,ALGECIRAS
ESP,BANCO DEL HOYO
EGY,SUEZ CANAL
RUS,BOL'SHOY KAMEN'
FRO,HOYVIK
PER,PUERTO ILO
ZAF,PORT ELIZABETH
AGO,MATADI
USA,WRANGELL
USA,HOONAH
USA,COAL POINT
RUS,PODYAPOLSK
CHN,SHENZHEN
NRU,NAURU
PNG,ALOTOA
NOR,OMASTRAND
ECU,GUAYAQUIL GULF
ATA,FILDES BAY
CHL,CABO NEGRO
CHL,PUERTO WILLIAMS
DNK,KALUNDBORG
USA,ESTHER IS
RUS,VOSTOCHNYY
CHL,PUERTO LAGUNAS
IDN,SURALAYA
SHN,GEORGETOWN
JPN,JP AKADOMARI OFF
THA,BENCHAMAS FIELD
CHN,XIAMEN
CAN,COAL HARBOR
CIV,PORT BOUET
CHL,I MAY
CHL,CHONCHI
CHL,QUEILEN
NOR,SKALEVIK
USA,ICY
USA,BATON ROUGE LA
USA,FWC
USA,AAN
JPN,HAMADA KO
JPN,SAKAIMINATO
JPN,JP KNM OFF
USA,OTTER COVE
FRO,TOFTIR
PNG,ALOTAU
MAR,TANGER
CHN,ZHANGZHOU
TGO,LOME
JPN,KANAZAWA
JPN,ONAHAMA KO
RUS,PROVIDENIYA
ECU,PUERTO BOLIVAR
MDV,MALE
JPN,TOKARA ISLANDS
CHN,34417777
USA,ELRINGTON ISLAND
ARE,KHORFAKKAN
RUS,DE-KASTRI
RUS,ANADYR
RUS,BOLSHOY KAMEN
IDN,BATU AMPAR
JPN,UWAJIMA KO
USA,ARS
IND,KOCHI
ZAF,DURBAN
RUS,SVETLAYA
ECU,SANTA ELENA
IDN,BITUNG
NOR,HAMMERFEST
TTO,AD
USA,ATKA
PHL,CABCABEN
ISL,STRAUMSVIK
CHN,SHANTOU
TUR,SAMSUN
TUR,ZONGULDAK
TUR,ARHAVI
PAN,MELONES
IDN,SINGAPORE
JPN,MAKURAZAKI
BRA,C DENMARK
JPN,NANAO KO
PHL,TORIL
ESH,DAKHLA
UKR,SEVASTOPOL
BEN,COTONOU
COG,POINTE NOIRE
PAN,VACAMONTE
IDN,JAKARTA
USA,EXCURSION INLET
BRA,IMBITUBA
GNQ,BATA
NGA,BONNY
KOR,KR PUS
ESP,CARTAGENA
NGA,WARRI
USA,WA
TUR,GUNDOGDU
ESP,DENIA
ESP,MAGALUF
ESP,SANT ANTONI DE PORTMANY
ESP,JAVEA
ESP,SANTA POLA
NOR,ULSTEINVIK WEATHER PWS STATION
CAN,BD
CAN,STEVESTON
CAN,PRINCE RUPERT
TUR,SINOP
TUN,SFAX
ITA,LAMPEDUSA
MLT,VALLETTA HARBORS
JPN,JP KIJ OFF
HRV,IST
ESP,HUELVA
ESP,MAZAGON
ECU,GUAYAQUIL
FSM,MOEN
KOR,DONGHAE
RUS,KAVKAZ
UKR,SUDAK
CHL,DALCAHUE
USA,ELFIN COVE
ESP,AR PIR
CAN,BELLA BELLA
NLD,HARLINGEN
RUS,RUDNAYA PRISTAN'
GRC,MEGISTI
RUS,NIKOLAYEVSK NA AMUR
JPN,YAIZU
JPN,HANASAKI
PYF,MAHINA
JPN,NAHA KO
TUR,ONDOKUZMAYIS
USA,UYAK
TUR,TRABZON
JPN,JP MIZ
ISL,THORLAKSHOFN
ESP,TABARCA
USA,PWS
MEX,MAZATLAN
MEX,MANZANILLO
USA,METERVIK BAY
RUS,TEMRYUK
ARG,PUERTO DESEADO
GBR,488df13f
MRT,NOUAKCHOTT
OMN,DUQUM
RUS,SAINT PETERSBURG
SWE,BXIAMEN
NOR,FINNKROKEN
ESP,CUETA
NGA,LAGOS
ATA,DECEPTION ISLAND
RUS,KHOLMSK
JPN,IBUSUKI
IDN,MAYANGAN
NOR,CS
CMR,DOUALA
FSM,TAFUNSAK
GRL,KLAKSVIK FAROE ISLAN
CHL,CANAL PUYUGUAPI
SLE,FREETOWN
THA,THUNG KHRU
TUR,PORTO CENEVIZ KOYU
IDN,PULAU SAMBU
IDN,CIWANDAN
MAR,TANGER MED
RUS,KALININGRAD
USA,ANACORTES
RUS,ST PETERSBURG
FRO,KOLLAFJORDUR
NOR,AG
TUR,BARTIN
USA,ST PAUL
MDV,HULHUMALE
IDN,CIGADING
JPN,ARIDA
CAN,SHEET HARBOUR
USA,PETERSBURG AK
IRN,KOOH MOBARAK
ARE,AJMAN
CHN,SHANGHAI
CHN,3453213b
CHN,35ad301d
OMN,SALALAH
IDN,TANJUNG UBAN
GEO,ANAKLIA
TUR,SURMENE
FRO,FUGLAFJORDUR
USA,TACOMA
AUS,PORT LINCOLN
MEX,ENSENADA
TUR,SARAYLAR
THA,SONGKHLA
KOR,INCHON
GMB,BANJUL
GHA,SEKONDI-TAKORADI
USA,OLSEN COVE
USA,BARANOF
USA,KARLUK
CHN,PENGLAI
USA,SLEEPY BAY
TUR,CINARCIK
RUS,MYS ABRAM
VNM,HOCHIMINH
NOR,STURA
URY,NUEVA PALMIRA
IDN,KUBANGKEPUH
FJI,FIJI
CHN,TANGSHAN
RUS,PETROPAVLOVSK-KAMCHATSKY
NOR,VESTBYGD
JPN,SHIOGAMA
NLD,VELSEN-NOORD
USA,VENDOVI ANCHORAGE
IND,BHAVNAGAR
MDV,BANDOS
