,vessel.mmsi,vessel.name,vessel.flag
0,636015528,PRINCE OF STREAM,LBR
5,370070000,FONG KUO  NO.819,PAN
47,356591000,WINSHENG,PAN
57,372907000,TENHO MARU,PAN
167,273358410,BUKHTA ASACHA,RUS
347,636009737,FRIO IONIAN,LBR
351,368076750,GLACIER BAY,USA
354,372886000,CHANG SHUN 1,PAN
355,416308000,CHEN YU NO.7,TWN
603,577106000,HARIMA 2,VUT
777,367408050,ARCTIC DAWN,USA
789,366841470,CHAMAI,USA
792,366588000,OCEAN PHOENIX,USA
793,271072769,BASARANLAR,TUR
988,412440834,FU YUAN YUN 991,CHN
1091,273376120,MONERON,RUS
1092,372942000,FENG LU,PAN
1207,636010125,ELBRUS,LBR
1210,367041530,HAIDA CHIEF,USA
1213,636017161,MEITA MARU,LBR
1408,214182223,AQUAMARINE,MDA
1419,412400790,ZHOUYULENG7,CHN
1421,273251100,PETROGRADSKIY,RUS
1514,353937000,SANWA FONTAINE,PAN
1517,412203740,TAI XIANG,CHN
1563,412440514,FU YUAN YU YUN 67,CHN
1564,725001544,RONIA ATLANTIC,CHL
1567,273440860,KATRAN,RUS
1625,273875400,IRTYSH,RUS
1653,273384570,KONDOR,RUS
1655,367119230,NORQUEST,USA
1659,341049000,FRIO ARKHANGELSK,KNA
1683,273397490,RETRIEVER,RUS
1872,353079000,BOYANG ALASKA,PAN
1884,273219900,ARCTIC PRINCESS,RUS
2029,367041640,LADY HELEN,USA
2037,367098030,KONA KAI,USA
2076,353306000,FRIO CHIKUMA,PAN
2083,352001673,ZHONG XIE 8,PAN
2119,273352570,PYOTR ILICHYOV,RUS
2269,273252100,VYBORGSKIY,RUS
2365,367724590,VIKING QUEEN,USA
2425,273447930,KAPITAN TEPLYUKOV,RUS
2564,412421071,XINJILILENG6,CHN
2699,412440723,FU YUAN YU YUN 993,CHN
2804,636018227,WEI NING,LBR
3186,636013651,FUJI BAY,LBR
3188,413692650,FU YUAN YU F76,CHN
3195,636011004,CAPE BELLE,LBR
3214,273385170,TIGR 2,RUS
3414,258534000,RO SERVER,NOR
3415,412420808,NING TAI LENG 1,CHN
3416,374906000,SHIN FUJI,PAN
3444,441923000,SEIN STAR,KOR
3462,367016340,YANKEE CLIPPER,USA
3476,273420160,LYRA,RUS
3919,412549527,LURONGYUANYUYUN898,CHN
4014,374173000,HAN XING,PAN
4094,273215390,DANIDIN,RUS
4133,273825810,LUCHISTYY,RUS
4135,412549349,LURONGYUANYUYUN668,CHN
4201,725003970,PATAGON VI,CHL
4203,372033000,SHUN HANG,PAN
4282,273377320,MEKHANIK S. AGAPOV,RUS
4283,351350000,NO.2 JOCHOH,PAN
4298,355966000,JOCHOH,PAN
4299,431600125,GENPUKUMARU NO.63,JPN
4301,224434000,IZAR ARGIA,ESP
4302,273219320,AFRODITA,RUS
4422,273330280,POLTAVA,RUS
4630,412423655,PU YUAN LENG 6,CHN
4632,367113130,CARMELA,USA
4634,431601458,NO82KIYOMARU,JPN
4637,412420998,NING TAI LENG 6,CHN
4691,576328000,GENTA MARU,VUT
4706,416521000,YONG MAN SHUN,TWN
4862,367510750,ELSA ROSE,USA
4874,525500664,BANDAR NELAYAN 308,IDN
4889,271073249,YUKSEL REIS,TUR
4921,355739000,HARIMA,PAN
5108,357058000,NO.2 POHAH,PAN
5134,271072487,KAPTAN HILMI-53,TUR
5147,366577000,R.M. THORSTENSON,USA
5150,352894000,TUNA QUEEN,PAN
5332,273431300,PLANETA,RUS
5777,273382550,PACIFICA,RUS
5832,412330149,LURONGYUANYUYUN789,CHN
5884,273381410,YALTA,RUS
5887,367165270,CAMAI,USA
5891,431800120,SHOUTOKUMARU NO.37,JPN
5892,273367690,TORNADO,RUS
5934,273148810,BELOMORYE,RUS
6047,412549379,NING TAI LENG 2,CHN
6072,431501016,KAKUEIMARU NO.28,JPN
6074,367137170,KATRINA EM,USA
6101,273815020,NEREY,RUS
6127,367452240,LINDA B,USA
6128,306137000,PRINCE OF SEAS,BES
6172,725012400,SEIVAG,CHL
6180,367474110,DEBBIE SUE,USA
6195,219663000,MINIK ARCTICA,DNK
6196,273417300,KAM STAR,RUS
6269,636017162,GENTA MARU,LBR
6369,353190000,INVINCIBLE,PAN
6376,725002730,PATAGON V,CHL
6377,352515000,FRIO PACIFIC,PAN
6379,416064900,FENG HAI NO.1,TWN
6380,367119230,NOR`QUEST,USA
6383,412331211,LURONGYUANYUYUN 777,CHN
6415,316002518,OCEANPROVIDER1,CAN
6432,412329641,LURONGYUANYUYUN168,CHN
6433,667003426,HENG XING 1,SLE
6434,412440239,FU YUAN YU LENG 36,CHN
6435,367448380,NORTHWIND,USA
6450,440214000,SEIN QUEEN,KOR
6471,273311610,FROST OLYMPOS,RUS
6486,367526070,GORDON JENSEN,USA
6516,354753000,MONTEALBA,PAN
6517,422733000,KOOSHA3,IRN
6523,431004114,"KYOTOKU MARU NO,18",JPN
6526,412436952,OU YA LENG 6,CHN
6539,273434600,KOOPERATOR,RUS
6602,412440254,FUYUANYULENG19,CHN
6603,431002828,ISHIDAMARU NO.67,JPN
6625,367171480,DECEPTION,USA
6630,412421049,DONGYU1530,CHN
6631,440523000,LAKE GLORY,KOR
6650,312507000,ZILLARRI,BLZ
6651,374888000,GENTA MARU,PAN
6730,441618000,SEIN PHOENIX,KOR
6754,431200426,KAISEI NO.11,JPN
6756,636091098,PRINCE OF SEAS,LBR
6759,273449510,GEOLOG PECHKUROV,RUS
6760,273421240,ANTON GURIN,RUS
6995,372910000,HAI FENG 638,PAN
7057,412440836,FU YUAN YU YUN 878,CHN
7176,273218630,GOGLAND REEFER,RUS
7215,431500987,NO25 TAIYUMARU,JPN
7223,416861000,JIN HWEI NO.101,TWN
7262,412549529,XINHAILENG2,CHN
7312,373039000,HAI FENG 688,PAN
7564,725002929,BRUDANES,CHL
7565,277348000,CAPELLA,LTU
7566,356155000,TRITON REEFER,PAN
7842,367018680,NEW ST JOSEPH,USA
7844,374244000,HIKARI 1,PAN
7846,352844000,JACHA,PAN
7854,273811510,OSTROV KARAGINSKIY,RUS
7901,576139000,TUNA PRINCESS,VUT
7904,412331486,LURONGYUANYUYUN009,CHN
7909,273211110,PAMYAT ILICHA,RUS
8049,271044372,AKUA GROUP2,TUR
8071,412440007,00607--5,CHN
8074,316008770,ROY KRISTIAN,CAN
8077,431601134,GENPUKUMARU NO.68,JPN
8078,273290510,ICE RIVER,RUS
8118,576687000,FUTAGAMI,VUT
8177,367098190,ENTRANCE POINT,USA
8185,725008300,ALCANTARA,CHL
8192,412440656,FU YUAN YU YUN 688,CHN
8193,273354620,MARIN STAR,RUS
8229,412549096,HAI LI LENG 6,CHN
8234,312621000,ZHONGZHOU1,BLZ
8249,416861000,JIN-HWEI-NO101,TWN
8252,273353800,CRYSTAL ATLANTICA,RUS
8343,374014000,PONTOS,PAN
8427,725003741,GRIP ANTARCTIC,CHL
8428,273356610,PROLIV LONGA,RUS
8672,354260000,FONG QUN,PAN
8673,441690000,SOHOH,KOR
8679,273441270,MYS KOMMUNAROV,RUS
8709,273339230,OS REEFER,RUS
8738,412549361,HUAXIANG8,CHN
8886,273873500,OSTROV IONY,RUS
9030,273358510,SIERRA,RUS
9267,412371221,KAI CHUANG 102,CHN
9279,730151013,ORION_S,COL
9282,368699000,OREGON,USA
9283,636017275,VICTORIA II,LBR
9321,515183000,YONGXIANG8,KHM
9332,515777000,QIHANG,KHM
9355,271069011,AVCI BABA-2,TUR
9372,371727000,RYOMA,PAN
9519,577122000,IBUKI,VUT
9525,355168000,SHIN IZU,PAN
9552,725001221,ORCA YAGAN,CHL
9553,371322000,HAI FENG 895,PAN
9557,725003023,RONIA PACIFIC,CHL
9559,367438060,DECO BAY,USA
9563,431700235,KAIKOMARU NO38,JPN
9564,441407000,LAKE DREAM,KOR
9585,412440364,FU YUAN YU YUN 87,CHN
9665,229587000,WINDFROST,MLT
9668,529268000,HUA JIAN 109,KIR
9669,273395480,NAUTA,RUS
9682,341759000,FRIO PETROPAVLOVSK,KNA
9690,366299000,INDEPENDENCE,USA
9696,273425770,KAPITAN SHCHERBAKOV,RUS
9874,355076000,PROCYON,PAN
9947,273311330,KOMBRIG MALCHENKO,RUS
10007,636092423,BAY  PHOENIX,LBR
10014,353509000,SEA REEFER,PAN
10078,273410910,LIMANSKIY,RUS
10113,529764000,WEI SHUN,KIR
10189,351531000,ANDALUCIA CARRIER,PAN
10197,373417000,HANARO,PAN
10284,525600929,KM NUSANTARA JAYA-36,IDN
10292,353185000,KURIKOMA,PAN
10329,412420331,RONG ZHOU,CHN
10448,431100731,NO.36OOHAMAMARU,JPN
10451,213519000,ERGUN KARD BALIKCIL1,GEO
10453,725000971,FAEROY,CHL
10455,412421049,NINGTAILENG7@ 7,CHN
10481,613003558,SUNNY LISA,CMR
10484,273296490,FRIO POSEIDON,RUS
10515,354874000,KENTA MARU,PAN
10526,352978231,OCEAN STAR,PAN
10536,273824020,NIKOLAY KASATKIN,RUS
10614,271072043,ERGUN KARD.BALIKC-2,TUR
10642,440571000,SEIHO,KOR
10681,259568000,VIKING SAGA,NOR
10682,341844000,AMATHUS,KNA
10687,353019000,FRIO CANARIAS,PAN
10690,412371219,KAI CHUANG 101,CHN
10697,355317000,ORIENTAL CHILAN,PAN
10831,357805000,SKYFROST,PAN
10901,725003304,SEIVIK,CHL
10902,412423656,PUYUANLENG7,CHN
10903,367395640,ALEUTIAN  FALCON,USA
10905,312273000,HAI FENG 678,BLZ
11040,311123000,SUMMER BAY,BHS
11043,273359920,TAVRIA,RUS
11238,636017561,HE SHUN,LBR
11532,273211120,ARTEMIDA,RUS
11644,431201000,TAISEI MARU NO15,JPN
11867,354811000,TAGANROGSKIY ZALIV,PAN
11868,416001900,YUAN TAI NO.8O6,TWN
11970,372538000,HUAN YU 1@O.12,PAN
11971,412421073,PING TAI RONG LENG1,CHN
12416,366961020,KELLY MAE,USA
12417,273351170,ODIN,RUS
12477,529874000,MING FENG,KIR
12489,367490930,NORTHERN SPIRIT,USA
12494,366744930,VIXEN,USA
12495,257962000,SAMSKIP ARCTIC,NOR
12496,412440611,FUYUANYULENG009,CHN
12499,412331211,LURONGYUANYUYUN777,CHN
12508,368633000,ROGUE,USA
12550,341346000,FRIO FORWIN,KNA
12552,273356760,HATSUKARI,RUS
12779,367545050,AKUTAN,USA
12780,273357670,FRIO SEVASTOPOLIS,RUS
13129,352440000,YUN RUN 7,PAN
13130,273433460,BUZANSKIY,RUS
13183,273195200,KRYMSKIY,RUS
13188,273421470,PROFESSOR MEGRABOV,RUS
13195,412549032,NINGTAILENG5,CHN
13378,636018009,REINA,LBR
13380,367348340,HARMONY I,USA
13390,354461000,XING YUN,PAN
13394,636017359,SHOTA MARU,LBR
13552,273257000,SMOLNINSKIY,RUS
13668,356889000,ANGARA,PAN
13701,576397000,KAIHO MARU,VUT
13703,306125000,ORANGE STREAM,BES
13727,529730000,MV KRASKINO,KIR
